Batch Size,Model Name,Compilation Type,Time,Device,Component
8,williamberman/laiona6plus_uvit_clip_f8,None,26.7,a100,backbone
8,williamberman/laiona6plus_uvit_clip_f8,default,19.4,a100,backbone
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.8,a100,backbone
16,williamberman/laiona6plus_uvit_clip_f8,None,27.0,a100,backbone
16,williamberman/laiona6plus_uvit_clip_f8,default,19.3,a100,backbone
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,11.1,a100,backbone
32,williamberman/laiona6plus_uvit_clip_f8,None,28.7,a100,backbone
32,williamberman/laiona6plus_uvit_clip_f8,default,20.8,a100,backbone
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,17.8,a100,backbone
1,williamberman/laiona6plus_uvit_clip_f8,None,26.3,t4,backbone
1,williamberman/laiona6plus_uvit_clip_f8,default,19.2,t4,backbone
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,10.9,t4,backbone
2,williamberman/laiona6plus_uvit_clip_f8,None,25.4,t4,backbone
2,williamberman/laiona6plus_uvit_clip_f8,default,18.0,t4,backbone
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,14.1,t4,backbone
4,williamberman/laiona6plus_uvit_clip_f8,None,26.5,t4,backbone
4,williamberman/laiona6plus_uvit_clip_f8,default,21.2,t4,backbone
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,21.5,t4,backbone
8,williamberman/laiona6plus_uvit_clip_f8,None,43.7,t4,backbone
8,williamberman/laiona6plus_uvit_clip_f8,default,36.1,t4,backbone
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,35.9,t4,backbone
16,williamberman/laiona6plus_uvit_clip_f8,None,88.5,t4,backbone
16,williamberman/laiona6plus_uvit_clip_f8,default,75.1,t4,backbone
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,78.6,t4,backbone
32,williamberman/laiona6plus_uvit_clip_f8,None,177.1,t4,backbone
32,williamberman/laiona6plus_uvit_clip_f8,default,149.0,t4,backbone
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,146.9,t4,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,None,20.2,t4,backbone
1,runwayml/stable-diffusion-v1-5,None,87.8,t4,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,default,16.3,t4,backbone
1,runwayml/stable-diffusion-v1-5,default,84.1,t4,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,16.6,t4,backbone
1,runwayml/stable-diffusion-v1-5,reduce-overhead,86.6,t4,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,None,32.0,t4,backbone
2,runwayml/stable-diffusion-v1-5,None,148.2,t4,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,default,27.2,t4,backbone
2,runwayml/stable-diffusion-v1-5,default,140.9,t4,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,27.7,t4,backbone
2,runwayml/stable-diffusion-v1-5,reduce-overhead,143.8,t4,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,None,64.8,t4,backbone
4,runwayml/stable-diffusion-v1-5,None,276.6,t4,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,default,52.8,t4,backbone
4,runwayml/stable-diffusion-v1-5,default,256.9,t4,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,55.1,t4,backbone
4,runwayml/stable-diffusion-v1-5,reduce-overhead,260.4,t4,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,None,118.9,t4,backbone
8,runwayml/stable-diffusion-v1-5,None,490.9,t4,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,default,98.7,t4,backbone
8,runwayml/stable-diffusion-v1-5,default,458.8,t4,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,99.1,t4,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,None,233.5,t4,backbone
16,runwayml/stable-diffusion-v1-5,None,970.4,t4,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,default,200.6,t4,backbone
16,runwayml/stable-diffusion-v1-5,default,932.6,t4,backbone
