Batch Size,Model Name,Compilation Type,Median,Mean,Device,Component,Timesteps,Max Memory
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,289.64947210624814,289.7206502966583,4090,full,20,1895799808
4,openMUSE/muse-laiona6-uvit-clip-220k,None,268.04383797571063,268.0775879416615,4090,full,12,2198161408
4,openMUSE/muse-laiona6-uvit-clip-220k,None,411.54768504202366,411.59942870338756,4090,full,20,2198161408
4,openMUSE/muse-laiona6-uvit-clip-220k,default,268.77938210964203,268.8013701699674,4090,full,12,2198161408
4,openMUSE/muse-laiona6-uvit-clip-220k,default,411.18578240275383,411.5054551512003,4090,full,20,2198161408
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,268.36255518719554,268.3197553269565,4090,full,12,2198161408
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,411.24501544982195,411.15596145391464,4090,full,20,2198161408
8,openMUSE/muse-laiona6-uvit-clip-220k,None,528.4391790628433,528.4391790628433,4090,full,12,2802884608
8,openMUSE/muse-laiona6-uvit-clip-220k,None,806.2258311547339,806.2258311547339,4090,full,20,2802884608
8,openMUSE/muse-laiona6-uvit-clip-220k,default,528.8440170697868,528.8440170697868,4090,full,12,2802884608
8,openMUSE/muse-laiona6-uvit-clip-220k,default,807.8571278601885,807.8571278601885,4090,full,20,2802884608
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,525.7953433319926,525.7953433319926,4090,full,12,2802884608
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,806.6514525562525,806.6514525562525,4090,full,20,2802884608
16,openMUSE/muse-laiona6-uvit-clip-220k,None,1161.6277443245053,1161.6277443245053,4090,full,12,4012331008
16,openMUSE/muse-laiona6-uvit-clip-220k,None,1796.7887269333005,1796.7887269333005,4090,full,20,4012331008
16,openMUSE/muse-laiona6-uvit-clip-220k,default,1163.0286844447255,1163.0286844447255,4090,full,12,4012331008
16,openMUSE/muse-laiona6-uvit-clip-220k,default,1797.5742053240538,1797.5742053240538,4090,full,20,4012331008
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1163.1084866821766,1163.1084866821766,4090,full,12,4012331008
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1796.5799234807491,1796.5799234807491,4090,full,20,4012331008
32,openMUSE/muse-laiona6-uvit-clip-220k,None,2404.505956918001,2404.505956918001,4090,full,12,6431502336
32,openMUSE/muse-laiona6-uvit-clip-220k,None,3723.3525132760406,3723.3525132760406,4090,full,20,6431502336
32,openMUSE/muse-laiona6-uvit-clip-220k,default,2411.0765792429447,2411.0765792429447,4090,full,12,6431502336
32,openMUSE/muse-laiona6-uvit-clip-220k,default,3727.670006453991,3727.670006453991,4090,full,20,6431502336
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,2412.4039728194475,2412.4039728194475,4090,full,12,6431502336
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,3735.265327617526,3735.265327617526,4090,full,20,6431502336
1,runwayml/stable-diffusion-v1-5,None,15.629179403185846,15.628640420202702,4090,backbone,,2390170112
1,runwayml/stable-diffusion-v1-5,default,15.060481429100037,15.060733005936655,4090,backbone,,2484931584
1,runwayml/stable-diffusion-v1-5,reduce-overhead,14.454673137515783,14.4589923721339,4090,backbone,,2243680768
2,runwayml/stable-diffusion-v1-5,None,24.863872956484556,24.86671784892678,4090,backbone,,2409986048
2,runwayml/stable-diffusion-v1-5,default,23.72487774118781,23.724176585674286,4090,backbone,,2597702144
2,runwayml/stable-diffusion-v1-5,reduce-overhead,23.10284748673439,23.101139534264803,4090,backbone,,2244015616
4,runwayml/stable-diffusion-v1-5,None,39.26165960729122,39.26834188258418,4090,backbone,,2508071424
4,runwayml/stable-diffusion-v1-5,default,37.582061160355806,37.57320586591958,4090,backbone,,2826567168
4,runwayml/stable-diffusion-v1-5,reduce-overhead,37.04123850911856,37.05746787427752,4090,backbone,,2244685312
8,runwayml/stable-diffusion-v1-5,None,72.3009817302227,72.39551988563368,4090,backbone,,2781318144
8,runwayml/stable-diffusion-v1-5,default,68.58890783041716,68.59760619699955,4090,backbone,,3238390784
8,runwayml/stable-diffusion-v1-5,reduce-overhead,67.78866332024336,67.78682737300794,4090,backbone,,2246024704
16,runwayml/stable-diffusion-v1-5,None,143.2807883247733,143.30162666738033,4090,backbone,,3327885312
16,runwayml/stable-diffusion-v1-5,default,134.43340687081218,134.44012636318803,4090,backbone,,4220129280
16,runwayml/stable-diffusion-v1-5,reduce-overhead,133.94464878365397,133.92798462882638,4090,backbone,,2248850944
32,runwayml/stable-diffusion-v1-5,None,290.6363047659397,290.60039203613997,4090,backbone,,4420798464
32,runwayml/stable-diffusion-v1-5,default,262.5404540449381,262.4836037866771,4090,backbone,,6096226304
1,runwayml/stable-diffusion-v1-5,None,32.09502878598869,32.10407129954547,4090,vae,,821041664
1,runwayml/stable-diffusion-v1-5,default,32.1299284696579,32.129695918411024,4090,vae,,821041664
1,runwayml/stable-diffusion-v1-5,reduce-overhead,32.130503468215466,32.13199973106384,4090,vae,,821041664
2,runwayml/stable-diffusion-v1-5,None,71.64513878524303,71.640731833343,4090,vae,,1255808000
2,runwayml/stable-diffusion-v1-5,default,71.67345425114036,71.67781616694161,4090,vae,,1255808000
2,runwayml/stable-diffusion-v1-5,reduce-overhead,71.70697022229433,71.69395153011594,4090,vae,,1255808000
4,runwayml/stable-diffusion-v1-5,None,139.60321433842182,139.59278841502964,4090,vae,,2329680896
4,runwayml/stable-diffusion-v1-5,default,139.5892039872706,139.6103157894686,4090,vae,,2329680896
4,runwayml/stable-diffusion-v1-5,reduce-overhead,139.61568428203464,139.6245309151709,4090,vae,,2329680896
8,runwayml/stable-diffusion-v1-5,None,274.96773190796375,274.95822426863015,4090,vae,,4477426688
8,runwayml/stable-diffusion-v1-5,default,274.5947898365557,274.7078731190413,4090,vae,,4477426688
8,runwayml/stable-diffusion-v1-5,reduce-overhead,274.7999457642436,274.79412057437,4090,vae,,4477426688
16,runwayml/stable-diffusion-v1-5,None,558.2508435472846,558.2508435472846,4090,vae,,8772918272
16,runwayml/stable-diffusion-v1-5,default,559.0376975014806,559.0376975014806,4090,vae,,8772918272
16,runwayml/stable-diffusion-v1-5,reduce-overhead,559.245178475976,559.245178475976,4090,vae,,8772918272
32,runwayml/stable-diffusion-v1-5,None,1198.8408602774143,1198.8408602774143,4090,vae,,15216122880
32,runwayml/stable-diffusion-v1-5,default,1201.8981063738465,1201.8981063738465,4090,vae,,15216122880
32,runwayml/stable-diffusion-v1-5,reduce-overhead,1196.586919017136,1196.586919017136,4090,vae,,15216122880
1,runwayml/stable-diffusion-v1-5,None,370.0695773586631,370.014070533216,4090,full,12,2809300992
1,runwayml/stable-diffusion-v1-5,None,570.2048386447132,570.2048386447132,4090,full,20,2809300992
1,runwayml/stable-diffusion-v1-5,default,355.3046006709337,355.35976104438305,4090,full,12,2809300992
1,runwayml/stable-diffusion-v1-5,default,545.3452612273395,545.3452612273395,4090,full,20,2809300992
1,runwayml/stable-diffusion-v1-5,reduce-overhead,348.1723703444004,348.739276950558,4090,full,12,2818124288
1,runwayml/stable-diffusion-v1-5,reduce-overhead,533.3780418150127,533.3780418150127,4090,full,20,2818124288
2,runwayml/stable-diffusion-v1-5,None,599.0237407386303,599.0237407386303,4090,full,12,3244598784
2,runwayml/stable-diffusion-v1-5,None,913.4796559810638,913.4796559810638,4090,full,20,3244598784
2,runwayml/stable-diffusion-v1-5,default,577.9854878783226,577.9854878783226,4090,full,12,3244598784
